#OTU ID	F1_06	F1_12	F1_18	F5_06	F5_12	F5_18	M6_06	M6_12	M6_18	M2_12	M2_18	M3_06	M3_12	M3_18	F2_06	F2_12	F3_06	F3_12	F3_18	M4_06	M4_12	M4_18	F4_06	F4_12	M5_06	M5_12	M5_18	M1_06	M1_12	M1_18
ASV3	14304.0	0.0	27433.0	2.0	0.0	4.0	11.0	1357.0	0.0	31.0	44.0	12330.0	0.0	18.0	5.0	3519.0	41.0	476.0	16.0	445.0	0.0	22509.0	0.0	1.0	0.0	752.0	2.0	29731.0	585.0	21.0
ASV1	12239.0	11.0	19296.0	27.0	0.0	4.0	0.0	1817.0	491.0	271.0	88075.0	10530.0	47765.0	5509.0	11251.0	12308.0	9226.0	798.0	28.0	132.0	22459.0	13.0	104.0	4.0	1.0	10640.0	3.0	7.0	204.0	1167.0
ASV196	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ASV5	2599.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	61150.0	15.0	3.0	4.0	9.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	92.0	3.0
ASV12	5.0	0.0	1059.0	0.0	8.0	0.0	0.0	3.0	9.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	23397.0	0.0	0.0	0.0	18.0	0.0
ASV7	1676.0	42271.0	3895.0	0.0	0.0	0.0	746.0	19.0	987.0	0.0	0.0	3544.0	0.0	5419.0	0.0	405.0	2.0	18456.0	2.0	0.0	17.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	69.0	1140.0
ASV20	95.0	0.0	748.0	162.0	14199.0	0.0	0.0	5147.0	678.0	1.0	49.0	259.0	7639.0	103.0	0.0	458.0	0.0	4050.0	4358.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	4220.0	0.0
ASV2	460.0	26.0	13.0	24009.0	692.0	8.0	1.0	2283.0	9548.0	629.0	10379.0	0.0	13920.0	35440.0	18136.0	32521.0	51713.0	15952.0	2.0	15.0	29611.0	6.0	4335.0	64.0	7.0	73687.0	2133.0	18.0	153.0	39007.0
ASV55	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1200.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV11	55.0	5.0	78.0	0.0	0.0	0.0	0.0	5.0	5.0	13.0	342.0	27.0	3768.0	47.0	67.0	51.0	155.0	7.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	1.0	25087.0
ASV25	65.0	0.0	14.0	4.0	10819.0	0.0	0.0	3226.0	848.0	0.0	0.0	19.0	1329.0	7.0	0.0	58.0	0.0	3162.0	4195.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2574.0	0.0
ASV4	92.0	5.0	448.0	5538.0	0.0	493.0	0.0	1177.0	1037.0	1025.0	251.0	0.0	20231.0	21117.0	8848.0	2047.0	15356.0	1480.0	0.0	2.0	10137.0	1680.0	0.0	1230.0	0.0	15142.0	497.0	4.0	556.0	5904.0
ASV14	95.0	0.0	3.0	0.0	0.0	1.0	18885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
ASV8	5.0	0.0	2.0	0.0	1.0	0.0	445.0	192.0	564.0	22722.0	7.0	0.0	2.0	7.0	1.0	7353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	2039.0	0.0	9.0	9448.0
ASV40	2.0	0.0	2104.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV23	94.0	0.0	434.0	0.0	0.0	1.0	6450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2958.0	2.0	2.0	0.0
ASV22	57.0	219.0	5068.0	0.0	0.0	0.0	0.0	9.0	269.0	78.0	129.0	2.0	0.0	25.0	311.0	0.0	0.0	2.0	138.0	1.0	0.0	0.0	0.0	1645.0	0.0	337.0	0.0	0.0	19.0	0.0
ASV147	28.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0
ASV91	1.0	0.0	598.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV29	7.0	0.0	3098.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
ASV52	2.0	0.0	1199.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
ASV218	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV42	4.0	0.0	1588.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV18	1.0	0.0	1.0	0.0	0.0	5.0	670.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16068.0	14.0	0.0	0.0
ASV30	5.0	0.0	5.0	0.0	2.0	752.0	0.0	3.0	1195.0	0.0	0.0	1135.0	55.0	396.0	0.0	0.0	0.0	51.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	7.0	0.0
ASV83	4.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	40.0	96.0	0.0	1.0	0.0
ASV9	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33217.0	5.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV89	1.0	0.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0
ASV61	3.0	0.0	958.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	10.0	0.0
ASV67	1.0	0.0	976.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV64	1.0	0.0	216.0	0.0	0.0	0.0	0.0	620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ASV93	2.0	0.0	1.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ASV98	1.0	0.0	345.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV43	0.0	0.0	1.0	1670.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV119	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV71	0.0	0.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1130.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0
ASV58	0.0	0.0	1.0	2537.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV62	0.0	0.0	676.0	0.0	0.0	0.0	0.0	2.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	218.0
ASV74	0.0	0.0	564.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV39	0.0	0.0	2390.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
ASV75	0.0	0.0	310.0	0.0	0.0	113.0	0.0	0.0	292.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0
ASV50	0.0	0.0	1090.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV161	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV79	0.0	0.0	552.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
ASV44	0.0	0.0	721.0	0.0	0.0	0.0	673.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	574.0	0.0	0.0	0.0	0.0	4.0	0.0
ASV129	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV112	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV99	0.0	0.0	380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV96	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ASV202	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0
ASV154	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV82	0.0	0.0	1.0	0.0	40.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1213.0	0.0	0.0	1.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
ASV6	0.0	0.0	3.0	0.0	0.0	40.0	0.0	0.0	139.0	17.0	0.0	0.0	0.0	59268.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
ASV101	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV37	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2478.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV86	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV33	0.0	0.0	0.0	8149.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	2.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	0.0	2.0	0.0	0.0
ASV87	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV38	0.0	0.0	0.0	1872.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV56	0.0	0.0	0.0	217.0	0.0	0.0	90.0	0.0	12.0	87.0	0.0	158.0	299.0	0.0	0.0	1.0	44.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
ASV26	0.0	0.0	0.0	8.0	0.0	0.0	0.0	9.0	0.0	3.0	44.0	0.0	5859.0	54.0	0.0	0.0	86.0	20.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	191.0	0.0	0.0	0.0	1.0
ASV32	0.0	0.0	0.0	0.0	5717.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV77	0.0	0.0	0.0	0.0	1049.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV48	0.0	0.0	0.0	0.0	4204.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	0.0	1.0	0.0	0.0
ASV15	0.0	0.0	0.0	0.0	252.0	18055.0	0.0	0.0	1.0	15.0	0.0	0.0	0.0	1.0	1623.0	2876.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	356.0	0.0	0.0
ASV121	0.0	0.0	0.0	0.0	239.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ASV49	0.0	0.0	0.0	0.0	362.0	1958.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0
ASV148	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV90	0.0	0.0	0.0	0.0	539.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	101.0
ASV10	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39701.0	0.0	0.0	0.0	0.0	0.0
ASV178	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV187	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV68	0.0	0.0	0.0	0.0	151.0	1171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	16.0	0.0	0.0
ASV231	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV197	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV228	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
